character_name,story_name,primary_archetype,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_genres
Claire Standish,The Breakfast Club,Hero-Diva,exact,tt0088847,movie,The Breakfast Club,1985.0,"Comedy,Drama"
Andrew Clark,The Breakfast Club,Traditionalist-Diva-Brute,exact,tt0088847,movie,The Breakfast Club,1985.0,"Comedy,Drama"
Brian Johnson,The Breakfast Club,Traditionalist-Outcast-Angel,exact,tt0088847,movie,The Breakfast Club,1985.0,"Comedy,Drama"
Allison Reynolds,The Breakfast Club,Lone Wolf-Outcast-Geek,exact,tt0088847,movie,The Breakfast Club,1985.0,"Comedy,Drama"
Principal Vernon,The Breakfast Club,Brute-Traditionalist-Demon,exact,tt0088847,movie,The Breakfast Club,1985.0,"Comedy,Drama"
Dorothy Gale,The Wizard of Oz,Diva-Adventurer-Angel,exact,tt0016544,movie,The Wizard of Oz,1925.0,"Adventure,Comedy,Family"
The Wizard of Oz,The Wizard of Oz,Geek-Diva-Demon,exact,tt0016544,movie,The Wizard of Oz,1925.0,"Adventure,Comedy,Family"
The Scarecrow,The Wizard of Oz,Adventurer-Outcast-Angel,exact,tt0016544,movie,The Wizard of Oz,1925.0,"Adventure,Comedy,Family"
The Tin Man,The Wizard of Oz,Outcast-Angel,exact,tt0016544,movie,The Wizard of Oz,1925.0,"Adventure,Comedy,Family"
The Cowardly Lion,The Wizard of Oz,Fool-Angel-Outcast,exact,tt0016544,movie,The Wizard of Oz,1925.0,"Adventure,Comedy,Family"
The Wicked Witch of the West,The Wizard of Oz,Demon,exact,tt0016544,movie,The Wizard of Oz,1925.0,"Adventure,Comedy,Family"
Jack Pearson,This Is Us,Angel-Adventurer-Hero,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
Rebecca Pearson,This Is Us,Adventurer-Hero-Angel,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
Randall Pearson,This Is Us,Angel-Hero,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
Kate Pearson,This Is Us,Diva-Angel-Outcast,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
Kevin Pearson,This Is Us,Demon-Diva-Adventurer,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
Beth Pearson,This Is Us,Hero,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
Toby Damon,This Is Us,Angel-Adventurer,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
William H. 'Shakespeare' Hill,This Is Us,Hero-Adventurer-Angel,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
Miguel Rivas,This Is Us,Angel,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
Sophie,This Is Us,Diva-Hero-Angel,exact,tt5555260,tvSeries,This Is Us,2016.0,"Comedy,Drama,Romance"
Jane Villanueva,Jane the Virgin,Diva-Hero-Angel,exact,tt3566726,tvSeries,Jane the Virgin,2014.0,"Comedy,Drama"
Xiomara Villanueva,Jane the Virgin,Adventurer,exact,tt3566726,tvSeries,Jane the Virgin,2014.0,"Comedy,Drama"
Petra Solano,Jane the Virgin,Diva-Hero-Demon,exact,tt3566726,tvSeries,Jane the Virgin,2014.0,"Comedy,Drama"
Alba Villanueva,Jane the Virgin,Angel-Hero,exact,tt3566726,tvSeries,Jane the Virgin,2014.0,"Comedy,Drama"
Rogelio De La Vega,Jane the Virgin,Diva-Adventurer,exact,tt3566726,tvSeries,Jane the Virgin,2014.0,"Comedy,Drama"
Rafael Solano,Jane the Virgin,Diva-Adventurer-Hero,exact,tt3566726,tvSeries,Jane the Virgin,2014.0,"Comedy,Drama"
John Wick,John Wick,Hero,fuzzy,tt11108390,short,John Wack,2019.0,"Comedy,Crime,Short"
Dr. Alan Grant,Jurassic Park,Hero,exact,tt2140041,movie,Jurassic Park,,Drama
Dr. Ellie Sattler,Jurassic Park,Angel-Hero,exact,tt2140041,movie,Jurassic Park,,Drama
Dr. Ian Malcolm,Jurassic Park,Demon-Hero-Adventurer,exact,tt2140041,movie,Jurassic Park,,Drama
John Hammond,Jurassic Park,Diva-Adventurer-Hero,exact,tt2140041,movie,Jurassic Park,,Drama
Ray Arnold,Jurassic Park,Traditionalist-Hero,exact,tt2140041,movie,Jurassic Park,,Drama
Dennis Nedry,Jurassic Park,Fool-Outcast-Demon,exact,tt2140041,movie,Jurassic Park,,Drama
Jason Bourne,The Bourne Identity,Lone Wolf-Hero,exact,tt0094791,tvMiniSeries,The Bourne Identity,1988.0,"Action,Adventure,Drama"
Marie Kreutz,The Bourne Identity,Hero-Angel-Adventurer,exact,tt0094791,tvMiniSeries,The Bourne Identity,1988.0,"Action,Adventure,Drama"
Alexander Conklin,The Bourne Identity,Hero-Traditionalist-Demon,exact,tt0094791,tvMiniSeries,The Bourne Identity,1988.0,"Action,Adventure,Drama"
Woody,Toy Story,Angel-Brute-Hero,exact,tt0114709,movie,Toy Story,1995.0,"Adventure,Animation,Comedy"
Buzz Lightyear,Toy Story,Brute-Hero,exact,tt0114709,movie,Toy Story,1995.0,"Adventure,Animation,Comedy"
Mr. Potato Head,Toy Story,Outcast-Brute-Demon,exact,tt0114709,movie,Toy Story,1995.0,"Adventure,Animation,Comedy"
Rex,Toy Story,Outcast-Adventurer-Angel,exact,tt0114709,movie,Toy Story,1995.0,"Adventure,Animation,Comedy"
Bo Peep,Toy Story,Sophisticate-Hero-Angel,exact,tt0114709,movie,Toy Story,1995.0,"Adventure,Animation,Comedy"
Sid Phillips,Toy Story,Outcast-Demon,exact,tt0114709,movie,Toy Story,1995.0,"Adventure,Animation,Comedy"
Josiah Bartlet,The West Wing,Angel-Hero,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
Leo McGarry,The West Wing,Hero,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
Josh Lyman,The West Wing,Demon-Adventurer-Hero,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
Toby Ziegler,The West Wing,Outcast-Traditionalist-Hero,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
Sam Seaborn,The West Wing,Adventurer-Diva-Hero,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
C. J. Cregg,The West Wing,Hero,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
Charlie Young,The West Wing,Angel-Hero,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
Donna Moss,The West Wing,Adventurer-Hero-Angel,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
Abbey Bartlet,The West Wing,Hero,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
Joey Lucas,The West Wing,Hero,exact,tt0200276,tvSeries,The West Wing,1999.0,Drama
Wanda Maximoff,WandaVision,Geek-Adventurer-Hero,exact,tt9140560,tvMiniSeries,WandaVision,2021.0,"Action,Comedy,Drama"
Vision,WandaVision,Angel-Hero,exact,tt9140560,tvMiniSeries,WandaVision,2021.0,"Action,Comedy,Drama"
Agatha Harkness,WandaVision,Hero-Demon,exact,tt9140560,tvMiniSeries,WandaVision,2021.0,"Action,Comedy,Drama"
Will Graham,Hannibal,Hero-Geek-Outcast,exact,tt4905870,movie,Hannibal,1972.0,Drama
Dr. Hannibal Lecter,Hannibal,Geek-Demon-Hero,exact,tt4905870,movie,Hannibal,1972.0,Drama
Dr. Alana Bloom,Hannibal,Hero,exact,tt4905870,movie,Hannibal,1972.0,Drama
Jack Crawford,Hannibal,Traditionalist-Hero,exact,tt4905870,movie,Hannibal,1972.0,Drama
Jimmy Price,Hannibal,Hero-Diva-Angel,exact,tt4905870,movie,Hannibal,1972.0,Drama
Brian Zeller,Hannibal,Non archetype,exact,tt4905870,movie,Hannibal,1972.0,Drama
Dr. Bedelia Du Maurier,Hannibal,Traditionalist-Hero,exact,tt4905870,movie,Hannibal,1972.0,Drama
Beverly Katz,Hannibal,Hero,exact,tt4905870,movie,Hannibal,1972.0,Drama
Abigail Hobbs,Hannibal,Geek-Outcast,exact,tt4905870,movie,Hannibal,1972.0,Drama
Freddie Lounds,Hannibal,Adventurer-Hero-Demon,exact,tt4905870,movie,Hannibal,1972.0,Drama
Jim Holden,The Expanse,Hero,exact,tt3230854,tvSeries,The Expanse,2015.0,"Drama,Mystery,Sci-Fi"
Naomi Nagata,The Expanse,Hero,exact,tt3230854,tvSeries,The Expanse,2015.0,"Drama,Mystery,Sci-Fi"
Amos Burton,The Expanse,Demon-Hero-Lone Wolf,exact,tt3230854,tvSeries,The Expanse,2015.0,"Drama,Mystery,Sci-Fi"
Chrisjen Avasarala,The Expanse,Hero,exact,tt3230854,tvSeries,The Expanse,2015.0,"Drama,Mystery,Sci-Fi"
Alex Kamal,The Expanse,Angel-Adventurer-Hero,exact,tt3230854,tvSeries,The Expanse,2015.0,"Drama,Mystery,Sci-Fi"
Bobbie Draper,The Expanse,Hero,exact,tt3230854,tvSeries,The Expanse,2015.0,"Drama,Mystery,Sci-Fi"
Nina Sayers,Black Swan,Hero-Outcast-Diva,exact,tt0271400,movie,Black Swan,2002.0,"Comedy,Drama"
Lily,Black Swan,Hero-Demon-Adventurer,exact,tt0271400,movie,Black Swan,2002.0,"Comedy,Drama"
Thomas Leroy,Black Swan,Hero-Demon,exact,tt0271400,movie,Black Swan,2002.0,"Comedy,Drama"
Jane Eyre,Jane Eyre,Outcast-Angel-Hero,exact,tt0290677,movie,Jane Eyre,1910.0,Drama
Edward Fairfax Rochester,Jane Eyre,Hero-Demon,exact,tt0290677,movie,Jane Eyre,1910.0,Drama
Donald G. Malarkey,Band of Brothers,Outcast-Brute-Adventurer,exact,tt0185906,tvMiniSeries,Band of Brothers,2001.0,"Action,Drama,History"
Richard D. Winters,Band of Brothers,Angel-Hero,exact,tt0185906,tvMiniSeries,Band of Brothers,2001.0,"Action,Drama,History"
Lewis Nixon,Band of Brothers,Adventurer-Hero,exact,tt0185906,tvMiniSeries,Band of Brothers,2001.0,"Action,Drama,History"
Eugene G. Roe,Band of Brothers,Angel-Hero,exact,tt0185906,tvMiniSeries,Band of Brothers,2001.0,"Action,Drama,History"
C. Carwood Lipton,Band of Brothers,Brute-Angel-Hero,exact,tt0185906,tvMiniSeries,Band of Brothers,2001.0,"Action,Drama,History"
Darrell C. (Shifty) Powers,Band of Brothers,Hero-Brute-Angel,exact,tt0185906,tvMiniSeries,Band of Brothers,2001.0,"Action,Drama,History"
Eric Taylor,Friday Night Lights,Brute-Hero,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Tami Taylor,Friday Night Lights,Adventurer-Angel-Hero,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Smash Williams,Friday Night Lights,Demon-Hero-Adventurer,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Matt Saracen,Friday Night Lights,Hero-Outcast-Angel,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Lyla Garrity,Friday Night Lights,Brute-Hero-Diva,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Tim Riggins,Friday Night Lights,Demon-Adventurer-Lone Wolf,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Tyra Collette,Friday Night Lights,Hero-Demon-Adventurer,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Landry Clarke,Friday Night Lights,Outcast-Angel,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Jason Street,Friday Night Lights,Angel-Brute-Hero,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Julie Taylor,Friday Night Lights,Adventurer-Outcast-Diva,exact,tt0390022,movie,Friday Night Lights,2004.0,"Action,Drama,Sport"
Don Lockwood,Singin' in the Rain,Hero-Adventurer,exact,tt0045152,movie,Singin' in the Rain,1952.0,"Comedy,Musical,Romance"
Kathy Selden,Singin' in the Rain,Adventurer-Hero-Angel,exact,tt0045152,movie,Singin' in the Rain,1952.0,"Comedy,Musical,Romance"
Cosmo Brown,Singin' in the Rain,Adventurer,exact,tt0045152,movie,Singin' in the Rain,1952.0,"Comedy,Musical,Romance"
Johnny Rose,Schitt's Creek,Diva-Hero,exact,tt3526078,tvSeries,Schitt's Creek,2015.0,Comedy
Moira Rose,Schitt's Creek,Adventurer-Diva-Demon,exact,tt3526078,tvSeries,Schitt's Creek,2015.0,Comedy
David Rose,Schitt's Creek,Hero-Adventurer-Diva,exact,tt3526078,tvSeries,Schitt's Creek,2015.0,Comedy
Alexis Rose,Schitt's Creek,Diva-Adventurer,exact,tt3526078,tvSeries,Schitt's Creek,2015.0,Comedy
Stevie Budd,Schitt's Creek,Hero-Outcast-Lone Wolf,exact,tt3526078,tvSeries,Schitt's Creek,2015.0,Comedy
Ted Mullens,Schitt's Creek,Angel,exact,tt3526078,tvSeries,Schitt's Creek,2015.0,Comedy
Thomas Shelby,Peaky Blinders,Demon-Hero,exact,tt2442560,tvSeries,Peaky Blinders,2013.0,"Crime,Drama"
Arthur Shelby,Peaky Blinders,Brute-Demon-Outcast,exact,tt2442560,tvSeries,Peaky Blinders,2013.0,"Crime,Drama"
Aunt Polly,Peaky Blinders,Hero,exact,tt2442560,tvSeries,Peaky Blinders,2013.0,"Crime,Drama"
Ada Shelby,Peaky Blinders,Adventurer-Hero,exact,tt2442560,tvSeries,Peaky Blinders,2013.0,"Crime,Drama"
Charlie Strong,Peaky Blinders,Traditionalist-Lone Wolf-Outcast,exact,tt2442560,tvSeries,Peaky Blinders,2013.0,"Crime,Drama"
Michael Gray,Peaky Blinders,Diva-Hero-Demon,exact,tt2442560,tvSeries,Peaky Blinders,2013.0,"Crime,Drama"
Littlefoot,The Land Before Time,Hero-Adventurer-Angel,exact,tt0095489,movie,The Land Before Time,1988.0,"Adventure,Animation,Drama"
Cera,The Land Before Time,Brute-Hero-Demon,exact,tt0095489,movie,The Land Before Time,1988.0,"Adventure,Animation,Drama"
Ducky,The Land Before Time,Adventurer-Angel,exact,tt0095489,movie,The Land Before Time,1988.0,"Adventure,Animation,Drama"
Petrie,The Land Before Time,Diva-Angel-Outcast,exact,tt0095489,movie,The Land Before Time,1988.0,"Adventure,Animation,Drama"
Spike,The Land Before Time,Fool-Lone Wolf-Angel,exact,tt0095489,movie,The Land Before Time,1988.0,"Adventure,Animation,Drama"
Jo March,Little Women,Hero-Adventurer,exact,tt0219883,movie,Little Women,1917.0,"Drama,Family,Romance"
Meg March,Little Women,Hero-Angel,exact,tt0219883,movie,Little Women,1917.0,"Drama,Family,Romance"
Amy March,Little Women,Adventurer-Diva-Hero,exact,tt0219883,movie,Little Women,1917.0,"Drama,Family,Romance"
Beth March,Little Women,Angel,exact,tt0219883,movie,Little Women,1917.0,"Drama,Family,Romance"
Marmee March,Little Women,Hero-Angel,exact,tt0219883,movie,Little Women,1917.0,"Drama,Family,Romance"
Theodore Laurence,Little Women,Diva-Adventurer,exact,tt0219883,movie,Little Women,1917.0,"Drama,Family,Romance"
Kylo Ren,Star Wars: The Last Jedi,Hero-Outcast-Demon,,,,,,
Rey,Star Wars: The Last Jedi,Adventurer-Hero,,,,,,
Finn,Star Wars: The Last Jedi,Adventurer-Outcast-Angel,,,,,,
Poe Dameron,Star Wars: The Last Jedi,Hero-Adventurer,,,,,,
Rose Tico,Star Wars: The Last Jedi,Outcast-Hero-Angel,,,,,,
