story_name,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_endYear,imdb_runtimeMinutes,imdb_genres
Willy Wonka & the Chocolate Factory,exact,tt0067992,movie,Willy Wonka & the Chocolate Factory,1971.0,,100.0,"Adventure,Comedy,Family"
Buffy the Vampire Slayer,exact,tt0103893,movie,Buffy the Vampire Slayer,1992.0,,86.0,"Action,Comedy,Fantasy"
Dark,exact,tt0406692,movie,Dark,1998.0,,100.0,"Fantasy,Horror,Thriller"
Mindhunter,exact,tt1332560,tvMovie,Mindhunter,2008.0,,,Documentary
Outlander,exact,tt0462465,movie,Outlander,2008.0,,115.0,"Action,Adventure,Sci-Fi"
Criminal Minds,exact,tt0317268,movie,Criminal Minds,1998.0,,88.0,"Action,Crime"
Ocean's 11,exact,tt6252246,short,Ocean's 11,2017.0,,,"Comedy,Crime,Short"
American Sniper,exact,tt2179136,movie,American Sniper,2014.0,,133.0,"Action,Biography,Drama"
The Odyssey,exact,tt0821800,tvMovie,The Odyssey,1987.0,,55.0,"Action,Adventure,Animation"
Outer Banks,exact,tt1860297,short,Outer Banks,2012.0,,15.0,"Biography,Documentary,Drama"
The OA,exact,tt4635282,tvSeries,The OA,2016.0,2019.0,60.0,"Drama,Fantasy,Mystery"
Promising Young Woman,exact,tt9620292,movie,Promising Young Woman,2020.0,,113.0,"Crime,Drama,Mystery"
Dr. Horrible's Sing-Along Blog,exact,tt1227926,tvMiniSeries,Dr. Horrible's Sing-Along Blog,2008.0,2008.0,42.0,"Comedy,Musical,Sci-Fi"
SpongeBob SquarePants,exact,tt40753672,short,SpongeBob SquarePants,1997.0,,9.0,"Comedy,Short"
Crazy Ex-Girlfriend,exact,tt4094300,tvSeries,Crazy Ex-Girlfriend,2015.0,2019.0,42.0,"Comedy,Musical"
American History X,exact,tt0120586,movie,American History X,1998.0,,119.0,"Crime,Drama"
Moulin Rouge!,exact,tt0203009,movie,Moulin Rouge!,2001.0,,127.0,"Drama,Musical,Romance"
Squid Game,exact,tt10919420,tvSeries,Squid Game,2021.0,2025.0,60.0,"Action,Crime,Drama"
Roman Holiday,exact,tt0046250,movie,Roman Holiday,1953.0,,118.0,"Comedy,Drama,Romance"
Emily in Paris,exact,tt8962124,tvSeries,Emily in Paris,2020.0,,30.0,"Comedy,Drama,Romance"
A Tale of Two Cities,exact,tt0306116,short,A Tale of Two Cities,1907.0,,,"Drama,Short"
