story_name,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_endYear,imdb_runtimeMinutes,imdb_genres
Westworld,exact,tt0070909,movie,Westworld,1973.0,,88.0,"Action,Drama,Sci-Fi"
Don Quixote,exact,tt1705847,short,Don Quixote,1909.0,,,"Drama,Short"
Divergent,exact,tt1840309,movie,Divergent,2014.0,,139.0,"Action,Adventure,Drama"
Mad Max: Fury Road,exact,tt1392190,movie,Mad Max: Fury Road,2015.0,,120.0,"Action,Adventure,Sci-Fi"
Archer,exact,tt0072468,tvSeries,Archer,1975.0,1975.0,60.0,Drama
Hamilton,exact,tt0283381,tvMiniSeries,Hamilton,2001.0,2001.0,190.0,"Action,Thriller"
Nineteen Eighty-Four,exact,tt14473100,tvMovie,Nineteen Eighty-Four,1954.0,,120.0,Sci-Fi
Mulan,exact,tt0120762,movie,Mulan,1998.0,,87.0,"Adventure,Animation,Comedy"
Mrs Dalloway,exact,tt0119723,movie,Mrs Dalloway,1997.0,,97.0,"Drama,Romance"
The Good Wife,exact,tt0093106,movie,The Good Wife,1987.0,,98.0,"Drama,Romance"
Orange is the New Black,exact,tt2372162,tvSeries,Orange Is the New Black,2013.0,2019.0,60.0,"Comedy,Crime,Drama"
The Wire,exact,tt39278867,short,The Wire,1996.0,,3.0,"Animation,Short"
Titanic,exact,tt0155274,movie,Titanic,1915.0,,,History
Les Misérables,exact,tt0000969,short,Les Misérables,1909.0,,44.0,"Drama,History,Short"
The Lion King,exact,tt0110357,movie,The Lion King,1994.0,,88.0,"Adventure,Animation,Drama"
Twin Peaks,exact,tt15258268,movie,Twin Peaks,1977.0,,50.0,
8 Mile,exact,tt0298203,movie,8 Mile,2002.0,,110.0,"Drama,Music"
The Notebook,exact,tt0090632,tvMovie,The Notebook,1985.0,,100.0,"Drama,Mystery,Romance"
The Office,exact,tt0167319,short,The Office,1966.0,,5.0,"Documentary,Drama,Short"
Ted Lasso,exact,tt10986410,tvSeries,Ted Lasso,2020.0,,30.0,"Comedy,Drama,Sport"
The Martian,exact,tt2910906,short,The Martian,2013.0,,10.0,"Comedy,Romance,Sci-Fi"
Lilo & Stitch,exact,tt0275847,movie,Lilo & Stitch,2002.0,,85.0,"Adventure,Animation,Comedy"
The Good Doctor,exact,tt0424884,short,The Good Doctor,1909.0,,,"Comedy,Short"
The Fall,exact,tt0064312,movie,The Fall,1969.0,,116.0,"Documentary,Music"
True Detective,exact,tt2356777,tvSeries,True Detective,2014.0,,60.0,"Crime,Drama,Mystery"
Ctrl+Alt+Del,exact,tt7453410,short,Ctrl+Alt+Del,2003.0,,12.0,"Drama,Fantasy,Short"
The Boys,exact,tt0211990,short,The Boys,1961.0,,,"Adult,Short"
The Crown,exact,tt8617534,short,The Crown,2004.0,,5.0,"Fantasy,Short"
The Americans,exact,tt0054515,tvSeries,The Americans,1961.0,,60.0,"Action,War"
Alien,exact,tt0078748,movie,Alien,1979.0,,117.0,"Horror,Sci-Fi"
The Devil Wears Prada,exact,tt0458352,movie,The Devil Wears Prada,2006.0,,109.0,"Comedy,Drama"
Atomic Blonde,exact,tt2406566,movie,Atomic Blonde,2017.0,,115.0,"Action,Thriller"
The Vampire Diaries,exact,tt1405406,tvSeries,The Vampire Diaries,2009.0,2017.0,43.0,"Drama,Fantasy,Horror"
Arrested Development,exact,tt0376489,short,Arrested Development,2003.0,,6.0,Short
Stargate SG-1,exact,tt0118480,tvSeries,Stargate SG-1,1997.0,2007.0,44.0,"Action,Adventure,Drama"
Annie Hall,exact,tt0075686,movie,Annie Hall,1977.0,,93.0,"Comedy,Romance"
Anna Karenina,exact,tt0210516,short,Anna Karenina,1910.0,,,Short
Vikings,exact,tt0474447,short,Vikings,2001.0,,12.0,Short
The Matrix,exact,tt0133093,movie,The Matrix,1999.0,,136.0,"Action,Sci-Fi"
Aladdin,exact,tt2144584,short,Aladdin,1898.0,,,"Fantasy,Short"
Chicago Fire,exact,tt2261391,tvSeries,Chicago Fire,2012.0,,43.0,"Action,Drama"
Atlas Shrugged,exact,tt23734768,tvSeries,Atlas Shrugged,2024.0,,,"Drama,Sci-Fi"
Attack on Titan,exact,tt2560140,tvSeries,Attack on Titan,2013.0,2023.0,24.0,"Action,Adventure,Animation"
Breakfast at Tiffany's,exact,tt0054698,movie,Breakfast at Tiffany's,1961.0,,115.0,"Comedy,Drama,Romance"
One Punch Man,exact,tt4508902,tvSeries,One Punch Man,2015.0,,24.0,"Action,Animation,Comedy"
Yellowstone,exact,tt0028523,movie,Yellowstone,1936.0,,63.0,"Action,Crime,Drama"
Game of Thrones,exact,tt0944947,tvSeries,Game of Thrones,2011.0,2019.0,60.0,"Action,Adventure,Drama"
You,exact,tt0196222,short,You,1916.0,,,"Short,War"
Independence Day,exact,tt0073165,movie,Independence Day,1976.0,,87.0,Drama
Gladiator,exact,tt0104346,movie,Gladiator,1992.0,,101.0,"Action,Drama,Sport"
30 Rock,exact,tt1860375,tvSeries,30 Rock,1983.0,,,Sport
The Princess Bride,exact,tt0093779,movie,The Princess Bride,1987.0,,98.0,"Adventure,Comedy,Family"
Suits,exact,tt0185711,movie,Suits,1999.0,,88.0,Comedy
Inception,exact,tt1375666,movie,Inception,2010.0,,148.0,"Action,Adventure,Sci-Fi"
Arrow,exact,tt39382655,short,Arrow,1992.0,,3.0,"Action,Adventure,Animation"
Sense8,exact,tt2431438,tvSeries,Sense8,2015.0,2018.0,60.0,"Drama,Mystery,Sci-Fi"
Ruby Sparks,exact,tt1839492,movie,Ruby Sparks,2012.0,,104.0,"Comedy,Drama,Fantasy"
Macbeth,exact,tt2398191,short,Macbeth,1898.0,,,"Drama,Short"
The Cabin in the Woods,exact,tt1259521,movie,The Cabin in the Woods,2011.0,,95.0,"Horror,Mystery,Thriller"
Farscape,exact,tt0187636,tvSeries,Farscape,1999.0,2003.0,50.0,"Action,Adventure,Drama"
Arcane,exact,tt2700728,short,Arcane,2011.0,,,"Sci-Fi,Short"
The Queen's Gambit,exact,tt11323430,short,The Queen's Gambit,2019.0,,8.0,"Drama,Short"
Naruto,exact,tt0409591,tvSeries,Naruto,2002.0,2007.0,24.0,"Action,Adventure,Animation"
Ghostbusters,exact,tt0087332,movie,Ghostbusters,1984.0,,105.0,"Action,Comedy,Fantasy"
Adventures of Huckleberry Finn,fuzzy,tt0031020,movie,The Adventures of Huckleberry Finn,1939.0,,91.0,"Adventure,Drama,Family"
Law & Order: SVU,fuzzy,tt1166893,tvSeries,Law & Order: UK,2009.0,2014.0,46.0,"Action,Adventure,Crime"
That 70's Show,fuzzy,tt0165598,tvSeries,That '70s Show,1998.0,2006.0,22.0,"Comedy,Drama,Romance"
Star Wars: Revenge of the Sith,fuzzy,tt6466398,short,Star Wars: Return of the Sith,2010.0,,,Short
Pirates of the Caribbean,fuzzy,tt1614955,movie,Primates of the Caribbean,2012.0,,80.0,"Animation,Comedy,Family"
Terminator 2: Judgement Day,fuzzy,tt0103064,movie,Terminator 2: Judgment Day,1991.0,,137.0,"Action,Adventure,Sci-Fi"
Star Wars: A New Hope,fuzzy,tt13504020,short,Star Wars: A New Order,2020.0,,15.0,"Animation,Comedy,Sci-Fi"
(500) Days of Summer,fuzzy,tt1022603,movie,500 Days of Summer,2009.0,,95.0,"Comedy,Drama,Romance"
Tommorrow Never Dies,fuzzy,tt0120347,movie,Tomorrow Never Dies,1997.0,,119.0,"Action,Adventure,Thriller"
Lord of the Rings,fuzzy,tt2022455,short,Lord of the Rinks,2006.0,,3.0,"Comedy,Short"
Marvel Cinematic Universe,fuzzy,tt12279790,tvSeries,Takeo Cinematic Universe,2017.0,2020.0,,"Comedy,Music"
